epiweek,region,first-observed-wili,final-observed-wili
201107,hhs8,2.8129999637604,2.65461
201108,hhs8,2.6679999828339,2.51181
201109,hhs8,2.3199999332428,2.24292
201110,hhs8,2.2369999885559,2.13623
201111,hhs8,1.7180000543594,1.697
201112,hhs8,1.3880000114441,1.39708
201113,hhs8,1.1139999628067,1.10508
201114,hhs8,0.77600002288818,0.82457
201115,hhs8,0.77899998426437,0.79173
201116,hhs8,0.58999997377396,0.63713
201117,hhs8,0.61699998378754,0.586726
201118,hhs8,0.52200001478195,0.508552
201119,hhs8,0.44100001454353,0.453815
201120,hhs8,0.46599999070168,0.467729
201041,hhs9,2.805999994278,1.91822
201042,hhs9,2.0230000019073,1.98148
201043,hhs9,1.7710000276566,1.77791
201044,hhs9,1.4229999780655,2.27503
201045,hhs9,1.2159999608994,2.34478
201046,hhs9,1.1009999513626,2.52885
201047,hhs9,3.2070000171661,2.83317
201048,hhs9,1.6499999761581,2.44015
201049,hhs9,2.1800000667572,2.92539
201050,hhs9,2.2880001068115,3.43547
201051,hhs9,2.6029999256134,4.16915
201052,hhs9,2.4210000038147,4.16749
201101,hhs9,1.8650000095367,3.23196
201102,hhs9,2.9089999198914,3.4291
201103,hhs9,3.9089999198914,3.76368
201104,hhs9,2.970999956131,4.22906
201105,hhs9,2.7479999065399,4.04219
201106,hhs9,4.3049998283386,4.52405
201107,hhs9,6.3979997634888,4.6947
201108,hhs9,4.3779997825623,4.72162
201109,hhs9,3.433000087738,4.53929
201110,hhs9,4.0910000801086,4.21272
201111,hhs9,2.6229999065399,3.92503
201112,hhs9,2.4210000038147,2.99716
201113,hhs9,2.0910000801086,2.84696
201114,hhs9,0.93599998950958,2.39777
201115,hhs9,1.5490000247955,2.29387
201116,hhs9,1.9479999542236,2.13977
201117,hhs9,2.414999961853,2.07516
201118,hhs9,0.86900001764297,1.93387
201119,hhs9,0.50999999046326,1.86598
201120,hhs9,0.69499999284744,1.82117
201041,hhs10,1.0249999761581,0.970664
201042,hhs10,1.0199999809265,0.822039
201043,hhs10,1.444000005722,0.934162
201044,hhs10,1.2719999551773,0.900647
201045,hhs10,1.0219999551773,1.02505
201046,hhs10,1.6080000400543,1.18495
201047,hhs10,2.6300001144409,1.70828
201048,hhs10,0.86900001764297,0.973474
201049,hhs10,1.4220000505447,1.05214
201050,hhs10,1.2460000514984,0.981582
201051,hhs10,1.4509999752045,1.25744
201052,hhs10,1.4520000219345,2.35441
201101,hhs10,1.5230000019073,1.44406
201102,hhs10,1.1000000238419,1.48738
