model,season,region,score,oneWk,twoWk,threeWk,fourWk
ReichLab-KDE,2010-2011,hhs4,log,-3.735656696837616,-3.784575767812637,-3.826477283619031,-3.828376554083142
ReichLab-SARIMA1,2010-2011,hhs4,mae,0.3129375033080513,0.5830967841609854,0.8261333386103314,1.0488275865028633
ReichLab-SARIMA1,2010-2011,hhs4,log,-2.706672955901883,-3.194496657964224,-3.501887071078316,-3.738952044413497
ReichLab-SARIMA2,2010-2011,hhs4,mae,0.25343750789761743,0.4544516048123773,0.6186666607856767,0.7777241419101601
ReichLab-SARIMA2,2010-2011,hhs4,log,-2.7115010584390227,-3.0779233153555396,-3.3130068835735953,-3.503799079624096
CU-BMA,2010-2011,hhs5,mae,0.2621785776955754,0.3326428634779749,0.3566666890073696,0.36119232361133424
CU-BMA,2010-2011,hhs5,log,-2.8605724994380353,-3.4462701172089605,-3.1386100750181445,-2.9461567421125046
CU-EAKFC,2010-2011,hhs5,mae,0.4007500009877317,0.489857147421155,0.5472592649636465,0.6775769160344057
CU-EAKFC,2010-2011,hhs5,log,-4.176496760181679,-4.268873264385982,-4.367572538936921,-4.8499758841120935
Delphi-BasisRegression,2010-2011,hhs5,mae,0.38115624822676347,0.465612902564389,0.49986667275428764,0.5199655269754345
Delphi-BasisRegression,2010-2011,hhs5,log,-4.737041085562291,-4.739864913645796,-4.74028698970912,-4.738511962128108
Delphi-DeltaDensity1,2010-2011,hhs5,mae,0.2559062544256453,0.32877420494632587,0.34886667370796703,0.37003448913837184
Delphi-DeltaDensity1,2010-2011,hhs5,log,-2.339223140274786,-2.602888656782159,-2.765703014519731,-2.9037240566850078
Delphi-DeltaDensity2,2010-2011,hhs5,mae,0.2682187464088185,0.34012902898172775,0.3868666636943777,0.4469310390538172
Delphi-DeltaDensity2,2010-2011,hhs5,log,-2.605795821990159,-2.7489381746131545,-2.9010691762893646,-2.9454819705753996
Delphi-EmpiricalBayes1,2010-2011,hhs5,mae,0.2972187530249335,0.4708387186450315,0.6752000025908104,0.733000000591938
Delphi-EmpiricalBayes1,2010-2011,hhs5,log,-3.5045653927592832,-4.588456997207823,-5.5266258757271105,-5.493420762987012
Delphi-EmpiricalBayes2,2010-2011,hhs5,mae,0.49321874566375856,0.6959354850553673,0.8524666647116317,0.9069999974349442
Delphi-EmpiricalBayes2,2010-2011,hhs5,log,-4.551912081207247,-5.228719161275294,-5.8952475825482935,-6.276239523896101
Delphi-EmpiricalFuture,2010-2011,hhs5,mae,0.3952187556773441,0.3967742000856723,0.405666673580807,0.4082413870712821
Delphi-EmpiricalFuture,2010-2011,hhs5,log,-3.8810485744870196,-3.8773904843507796,-3.870188113852256,-3.8625101247574207
Delphi-EmpiricalTraj,2010-2011,hhs5,mae,0.3952187556773441,0.3967742000856723,0.405666673580807,0.4082413870712821
Delphi-EmpiricalTraj,2010-2011,hhs5,log,-3.8810485744870196,-3.8773904843507796,-3.870188113852256,-3.8625101247574207
Delphi-Stat,2010-2011,hhs5,mae,0.23016900682603395,0.31711957949844155,0.34899603977438826,0.38003804451586926
Delphi-Stat,2010-2011,hhs5,log,-2.3084120134583377,-2.5682911470478755,-2.7958249281328635,-2.908174358883072
Delphi-Uniform,2010-2011,hhs5,mae,4.922843744233253,4.894645156014352,4.868466661373776,4.840448270995043
Delphi-Uniform,2010-2011,hhs5,log,-5.13799696214119,-5.133721228372226,-5.129931652593017,-5.125880726760068
ReichLab-KCDE,2010-2011,hhs5,mae,0.2644687581807323,0.2750967798694471,0.273733332554501,0.27651724815368206
ReichLab-KCDE,2010-2011,hhs5,log,-2.601858829994363,-2.6641274007142446,-2.827493841014023,-2.9589614771421093
ReichLab-KDE,2010-2011,hhs5,mae,0.32168966079580413,0.32700000405311497,0.3149629676783519,0.32142308216828497
ReichLab-KDE,2010-2011,hhs5,log,-3.1095350216508924,-3.1328429524502894,-3.125280851722932,-3.1493193718732497
ReichLab-SARIMA1,2010-2011,hhs5,mae,0.20159375406801158,0.2938709647424755,0.359866669575375,0.4818275986046573
ReichLab-SARIMA1,2010-2011,hhs5,log,-2.3435318838208206,-2.6774495494033514,-2.941626269532887,-3.1616329696124446
ReichLab-SARIMA2,2010-2011,hhs5,mae,0.19409375898539277,0.2791613036586316,0.3234000098705331,0.40872415098650405
ReichLab-SARIMA2,2010-2011,hhs5,log,-2.398030768258055,-2.7113953825088903,-2.871308240110277,-3.015699763032349
CU-BMA,2010-2011,hhs6,mae,0.8160357143197746,0.915749985831125,1.0011111118175333,1.186230758520273
CU-BMA,2010-2011,hhs6,log,-4.092242743115811,-3.939515766579865,-4.211456189144761,-4.302189480377643
CU-EAKFC,2010-2011,hhs6,mae,0.8738928377628321,1.0011071375438105,1.183481470743807,1.3366153753720726
CU-EAKFC,2010-2011,hhs6,log,-4.482813091758293,-4.923101113616341,-5.334524352681582,-5.196610833196919
Delphi-BasisRegression,2010-2011,hhs6,mae,0.6795937642455061,0.7826451724575388,0.8584666776657065,0.8810689761720794
Delphi-BasisRegression,2010-2011,hhs6,log,-4.697225312396276,-4.70467328734888,-4.709029514054939,-4.708544494163115
Delphi-DeltaDensity1,2010-2011,hhs6,mae,0.4657187387347188,0.5901290409026614,0.7098666731516466,0.8080344940053917
Delphi-DeltaDensity1,2010-2011,hhs6,log,-3.0261433420734063,-3.35717964914738,-3.5460010940124302,-3.637721580180367
Delphi-DeltaDensity2,2010-2011,hhs6,mae,0.3423437297344187,0.4300645128373105,0.6178666750590001,0.7324482868457618
Delphi-DeltaDensity2,2010-2011,hhs6,log,-3.00735286606875,-3.210614554144564,-3.4415511154909835,-3.564380225232819
Delphi-EmpiricalBayes1,2010-2011,hhs6,mae,0.40203123837709376,0.6786451608903967,0.8887999995549465,1.086655164587093
Delphi-EmpiricalBayes1,2010-2011,hhs6,log,-3.0500706216974947,-3.5933156358049207,-4.079556023462365,-4.491453770184785
Delphi-EmpiricalBayes2,2010-2011,hhs6,mae,0.6230312258005124,0.9130967501671063,1.1667999776204463,1.3029310177112445
Delphi-EmpiricalBayes2,2010-2011,hhs6,log,-3.9311634065855685,-4.709276925458084,-5.554937762557953,-6.2213908423905195
Delphi-EmpiricalFuture,2010-2011,hhs6,mae,0.6840312585234626,0.7009032364814485,0.7206666771570801,0.7449310467160932
Delphi-EmpiricalFuture,2010-2011,hhs6,log,-4.163148380257223,-4.1598825870030955,-4.157701929419107,-4.1556275765143855
Delphi-EmpiricalTraj,2010-2011,hhs6,mae,0.6840312585234626,0.7009032364814485,0.7206666771570801,0.7449310467160932
Delphi-EmpiricalTraj,2010-2011,hhs6,log,-4.163148380257223,-4.1598825870030955,-4.157701929419107,-4.1556275765143855
Delphi-Stat,2010-2011,hhs6,mae,0.4060481477296294,0.5195599643843329,0.6473099567021685,0.7695596383789474
