component_model_id,season,target,weight
Delphi-Uniform,2010/2011,2 wk ahead,0
LANL-DBM,2010/2011,2 wk ahead,6.49568294890964e-47
ReichLab-KCDE,2010/2011,2 wk ahead,4.22117776642803e-33
ReichLab-KDE,2010/2011,2 wk ahead,1.5192930503585e-166
ReichLab-SARIMA1,2010/2011,2 wk ahead,1.81556915480623e-48
ReichLab-SARIMA2,2010/2011,2 wk ahead,2.33541675458997e-32
CU-BMA,2011/2012,2 wk ahead,0.0386210238168749
CU-EAKFC_SEIRS,2011/2012,2 wk ahead,0.23659899911751
CU-EAKFC_SIRS,2011/2012,2 wk ahead,0.0237855663735956
CU-EKF_SEIRS,2011/2012,2 wk ahead,0.18987199664835
CU-EKF_SIRS,2011/2012,2 wk ahead,0.000570292520683096
CU-RHF_SEIRS,2011/2012,2 wk ahead,0.0618935184760292
CU-RHF_SIRS,2011/2012,2 wk ahead,1.00200308071407e-07
Delphi-BasisRegression,2011/2012,2 wk ahead,0
Delphi-DeltaDensity1,2011/2012,2 wk ahead,0.326878290774704
Delphi-DeltaDensity2,2011/2012,2 wk ahead,0.0399882078606327
Delphi-EmpiricalBayes1,2011/2012,2 wk ahead,0.0817920042113023
Delphi-EmpiricalBayes2,2011/2012,2 wk ahead,4.14630898440734e-32
Delphi-EmpiricalFuture,2011/2012,2 wk ahead,2.48102713214841e-154
Delphi-EmpiricalTraj,2011/2012,2 wk ahead,2.48102713214841e-154
Delphi-Stat,2011/2012,2 wk ahead,1.03538997842318e-14
Delphi-Uniform,2011/2012,2 wk ahead,0
LANL-DBM,2011/2012,2 wk ahead,1.00509378545869e-31
ReichLab-KCDE,2011/2012,2 wk ahead,5.78685515058596e-27
ReichLab-KDE,2011/2012,2 wk ahead,1.11854098702781e-124
ReichLab-SARIMA1,2011/2012,2 wk ahead,7.33607625031537e-46
ReichLab-SARIMA2,2011/2012,2 wk ahead,3.11443471038517e-29
CU-BMA,2012/2013,2 wk ahead,0.0372315331500726
CU-EAKFC_SEIRS,2012/2013,2 wk ahead,0.307472092828813
CU-EAKFC_SIRS,2012/2013,2 wk ahead,0.000156588312859782
CU-EKF_SEIRS,2012/2013,2 wk ahead,0.231107477812159
CU-EKF_SIRS,2012/2013,2 wk ahead,1.22307323460522e-06
CU-RHF_SEIRS,2012/2013,2 wk ahead,0.0106197003895766
CU-RHF_SIRS,2012/2013,2 wk ahead,1.46311034013224e-10
Delphi-BasisRegression,2012/2013,2 wk ahead,0
Delphi-DeltaDensity1,2012/2013,2 wk ahead,0.222850049076458
Delphi-DeltaDensity2,2012/2013,2 wk ahead,0.124722965520828
Delphi-EmpiricalBayes1,2012/2013,2 wk ahead,0.0658383696896872
Delphi-EmpiricalBayes2,2012/2013,2 wk ahead,5.85206677002957e-42
Delphi-EmpiricalFuture,2012/2013,2 wk ahead,2.95361391891983e-198
Delphi-EmpiricalTraj,2012/2013,2 wk ahead,2.95361391891983e-198
Delphi-Stat,2012/2013,2 wk ahead,3.39440505867821e-18
Delphi-Uniform,2012/2013,2 wk ahead,0
LANL-DBM,2012/2013,2 wk ahead,1.7651133320991e-41
ReichLab-KCDE,2012/2013,2 wk ahead,1.40058133905802e-29
ReichLab-KDE,2012/2013,2 wk ahead,3.75343319163292e-150
ReichLab-SARIMA1,2012/2013,2 wk ahead,7.30343510510567e-51
ReichLab-SARIMA2,2012/2013,2 wk ahead,1.30056192828614e-32
CU-BMA,2013/2014,2 wk ahead,0.0520268093858989
CU-EAKFC_SEIRS,2013/2014,2 wk ahead,0.215383611275842
CU-EAKFC_SIRS,2013/2014,2 wk ahead,9.65515386217333e-05
CU-EKF_SEIRS,2013/2014,2 wk ahead,0.263611991780412
CU-EKF_SIRS,2013/2014,2 wk ahead,0.000165898780154393
CU-RHF_SEIRS,2013/2014,2 wk ahead,0.06769726592653
CU-RHF_SIRS,2013/2014,2 wk ahead,6.60114957287995e-09
Delphi-BasisRegression,2013/2014,2 wk ahead,0
Delphi-DeltaDensity1,2013/2014,2 wk ahead,0.257050179082097
Delphi-DeltaDensity2,2013/2014,2 wk ahead,0.0654660497329367
Delphi-EmpiricalBayes1,2013/2014,2 wk ahead,0.0785016358963573
Delphi-EmpiricalBayes2,2013/2014,2 wk ahead,2.67263644829194e-46
Delphi-EmpiricalFuture,2013/2014,2 wk ahead,7.00259360522307e-174
Delphi-EmpiricalTraj,2013/2014,2 wk ahead,7.00259360522307e-174
Delphi-Stat,2013/2014,2 wk ahead,3.98347169952891e-17
Delphi-Uniform,2013/2014,2 wk ahead,0
LANL-DBM,2013/2014,2 wk ahead,3.91775983451773e-33
ReichLab-KCDE,2013/2014,2 wk ahead,7.03174430391299e-28
ReichLab-KDE,2013/2014,2 wk ahead,5.5729313063641e-130
ReichLab-SARIMA1,2013/2014,2 wk ahead,2.24986117927844e-45
ReichLab-SARIMA2,2013/2014,2 wk ahead,3.16790790086835e-32
CU-BMA,2014/2015,2 wk ahead,0.0582527760709523
CU-EAKFC_SEIRS,2014/2015,2 wk ahead,0.20522511080565
CU-EAKFC_SIRS,2014/2015,2 wk ahead,5.17646757555473e-06
CU-EKF_SEIRS,2014/2015,2 wk ahead,0.314859923953589
CU-EKF_SIRS,2014/2015,2 wk ahead,2.0046602350627e-06
CU-RHF_SEIRS,2014/2015,2 wk ahead,0.00132435683970901
CU-RHF_SIRS,2014/2015,2 wk ahead,2.41002724173919e-09
Delphi-BasisRegression,2014/2015,2 wk ahead,0
Delphi-DeltaDensity1,2014/2015,2 wk ahead,0.327673839776691
Delphi-DeltaDensity2,2014/2015,2 wk ahead,0.0387847418849302
Delphi-EmpiricalBayes1,2014/2015,2 wk ahead,0.053872067130641
Delphi-EmpiricalBayes2,2014/2015,2 wk ahead,1.59133596601916e-64
Delphi-EmpiricalFuture,2014/2015,2 wk ahead,9.9396229948668e-224
Delphi-EmpiricalTraj,2014/2015,2 wk ahead,9.9396229948668e-224
Delphi-Stat,2014/2015,2 wk ahead,4.14512687979159e-22
Delphi-Uniform,2014/2015,2 wk ahead,0
LANL-DBM,2014/2015,2 wk ahead,4.52270329679273e-37
ReichLab-KCDE,2014/2015,2 wk ahead,7.10527702138904e-36
ReichLab-KDE,2014/2015,2 wk ahead,2.93160957563349e-159
ReichLab-SARIMA1,2014/2015,2 wk ahead,2.96168567204212e-53
ReichLab-SARIMA2,2014/2015,2 wk ahead,5.7321622271266e-44
CU-BMA,2015/2016,2 wk ahead,0.0150257253760702
CU-EAKFC_SEIRS,2015/2016,2 wk ahead,0.222336375099235
CU-EAKFC_SIRS,2015/2016,2 wk ahead,0.00434661760928898
CU-EKF_SEIRS,2015/2016,2 wk ahead,0.349259780730847
CU-EKF_SIRS,2015/2016,2 wk ahead,0.00267520428064728
CU-RHF_SEIRS,2015/2016,2 wk ahead,0.000262746840144963
CU-RHF_SIRS,2015/2016,2 wk ahead,5.287039388782e-09
Delphi-BasisRegression,2015/2016,2 wk ahead,0
Delphi-DeltaDensity1,2015/2016,2 wk ahead,0.26314317176248
Delphi-DeltaDensity2,2015/2016,2 wk ahead,0.0633010763350733
Delphi-EmpiricalBayes1,2015/2016,2 wk ahead,0.0796492966791738
Delphi-EmpiricalBayes2,2015/2016,2 wk ahead,9.5391409090033e-69
Delphi-EmpiricalFuture,2015/2016,2 wk ahead,2.41577559818806e-233
Delphi-EmpiricalTraj,2015/2016,2 wk ahead,2.41577559818806e-233
Delphi-Stat,2015/2016,2 wk ahead,3.29195264119302e-23
Delphi-Uniform,2015/2016,2 wk ahead,0
LANL-DBM,2015/2016,2 wk ahead,9.10049611033787e-41
ReichLab-KCDE,2015/2016,2 wk ahead,4.2616936604637e-34
ReichLab-KDE,2015/2016,2 wk ahead,6.25563596859896e-171
ReichLab-SARIMA1,2015/2016,2 wk ahead,9.75012465369438e-54
ReichLab-SARIMA2,2015/2016,2 wk ahead,2.04347280811673e-26
CU-BMA,2016/2017,2 wk ahead,0.0500502534384908
CU-EAKFC_SEIRS,2016/2017,2 wk ahead,0.302135570708863
CU-EAKFC_SIRS,2016/2017,2 wk ahead,0.00932254166321205
