component_model_id,season,target,weight
ReichLab-SARIMA2,2012/2013,Season onset,0.0599421306493097
ReichLab-SARIMA2,2012/2013,Season peak week,0.0599421306493097
ReichLab-SARIMA2,2012/2013,Season peak percentage,0.0599421306493097
CU-BMA,2013/2014,Season onset,0.0482506951398222
CU-BMA,2013/2014,Season peak week,0.0482506951398222
CU-BMA,2013/2014,Season peak percentage,0.0482506951398222
CU-EAKFC_SEIRS,2013/2014,Season onset,0.0111481505916231
CU-EAKFC_SEIRS,2013/2014,Season peak week,0.0111481505916231
CU-EAKFC_SEIRS,2013/2014,Season peak percentage,0.0111481505916231
CU-EAKFC_SIRS,2013/2014,Season onset,0.0209453037679501
CU-EAKFC_SIRS,2013/2014,Season peak week,0.0209453037679501
CU-EAKFC_SIRS,2013/2014,Season peak percentage,0.0209453037679501
CU-EKF_SEIRS,2013/2014,Season onset,1.99266593943171e-05
CU-EKF_SEIRS,2013/2014,Season peak week,1.99266593943171e-05
CU-EKF_SEIRS,2013/2014,Season peak percentage,1.99266593943171e-05
CU-EKF_SIRS,2013/2014,Season onset,1.00242139821121e-06
CU-EKF_SIRS,2013/2014,Season peak week,1.00242139821121e-06
CU-EKF_SIRS,2013/2014,Season peak percentage,1.00242139821121e-06
CU-RHF_SEIRS,2013/2014,Season onset,4.20887898719811e-06
CU-RHF_SEIRS,2013/2014,Season peak week,4.20887898719811e-06
CU-RHF_SEIRS,2013/2014,Season peak percentage,4.20887898719811e-06
CU-RHF_SIRS,2013/2014,Season onset,0.000520260313675921
CU-RHF_SIRS,2013/2014,Season peak week,0.000520260313675921
CU-RHF_SIRS,2013/2014,Season peak percentage,0.000520260313675921
Delphi-BasisRegression,2013/2014,Season onset,1.34372481948972e-93
Delphi-BasisRegression,2013/2014,Season peak week,1.34372481948972e-93
Delphi-BasisRegression,2013/2014,Season peak percentage,1.34372481948972e-93
Delphi-DeltaDensity1,2013/2014,Season onset,8.21392163280975e-10
Delphi-DeltaDensity1,2013/2014,Season peak week,8.21392163280975e-10
Delphi-DeltaDensity1,2013/2014,Season peak percentage,8.21392163280975e-10
Delphi-DeltaDensity2,2013/2014,Season onset,1.9798607500918e-15
Delphi-DeltaDensity2,2013/2014,Season peak week,1.9798607500918e-15
Delphi-DeltaDensity2,2013/2014,Season peak percentage,1.9798607500918e-15
Delphi-EmpiricalBayes1,2013/2014,Season onset,6.30492979955058e-05
Delphi-EmpiricalBayes1,2013/2014,Season peak week,6.30492979955058e-05
