component_model_id,season,location,target,weight
UA-EpiCos,2010/20112019/2020,HHS Region 2,Season peak percentage,0.030991884862792255
CU-BMA,2010/20112019/2020,HHS Region 2,1 wk ahead,0.03733132494490506
FluOutlook-Mech,2010/20112019/2020,HHS Region 2,1 wk ahead,0.08585581543535528
FluOutlook-MechAug,2010/20112019/2020,HHS Region 2,1 wk ahead,0.08495364603322356
FluX-ARLR,2010/20112019/2020,HHS Region 2,1 wk ahead,0.041278672614851776
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 2,1 wk ahead,0.045759718207223764
LANL-DBMplus,2010/20112019/2020,HHS Region 2,1 wk ahead,0.29172527750156246
Protea-Cheetah,2010/20112019/2020,HHS Region 2,1 wk ahead,0.1383007820643768
Protea-Kudu,2010/20112019/2020,HHS Region 2,1 wk ahead,0.016253220988312285
Protea-Springbok,2010/20112019/2020,HHS Region 2,1 wk ahead,0.14451362639276974
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 2,1 wk ahead,0.029874132739383937
UA-EpiCos,2010/20112019/2020,HHS Region 2,1 wk ahead,0.08415378307803538
CU-BMA,2010/20112019/2020,HHS Region 2,2 wk ahead,0.052255268706421464
FluOutlook-Mech,2010/20112019/2020,HHS Region 2,2 wk ahead,0.0657502861906096
FluOutlook-MechAug,2010/20112019/2020,HHS Region 2,2 wk ahead,0.10844339609814625
FluX-ARLR,2010/20112019/2020,HHS Region 2,2 wk ahead,0.03446873224947915
FluX-FluX_LSTM,2010/20112019/2020,HHS Region 2,2 wk ahead,0.0577749635539067
LANL-DBMplus,2010/20112019/2020,HHS Region 2,2 wk ahead,0.13053689910201244
Protea-Cheetah,2010/20112019/2020,HHS Region 2,2 wk ahead,0.18307264027926068
Protea-Kudu,2010/20112019/2020,HHS Region 2,2 wk ahead,0.017217998859886886
Protea-Springbok,2010/20112019/2020,HHS Region 2,2 wk ahead,0.2598813286085342
ReichLab-KCDE_NB,2010/20112019/2020,HHS Region 2,2 wk ahead,0.03163743253822771
UA-EpiCos,2010/20112019/2020,HHS Region 2,2 wk ahead,0.05896105381351497
CU-BMA,2010/20112019/2020,HHS Region 2,3 wk ahead,0.054248887666245554
FluOutlook-Mech,2010/20112019/2020,HHS Region 2,3 wk ahead,0.052200843590232394
