component_model_id,season,location,target,weight
LANL-DBMplus,2010/2011,US National,4 wk ahead,0.017188314916470923
Protea-Cheetah,2010/2011,US National,4 wk ahead,0.01612447538097694
Protea-Kudu,2010/2011,US National,4 wk ahead,0.005705669180891819
Protea-Springbok,2010/2011,US National,4 wk ahead,0.04346799529289916
ReichLab-KCDE_NB,2010/2011,US National,4 wk ahead,0.015140074842306134
ReichLab-KCDE_PHB,2010/2011,US National,4 wk ahead,0.01493821821868863
ReichLab-KDE,2010/2011,US National,4 wk ahead,0.006308795427542418
ReichLab-SARIMA1,2010/2011,US National,4 wk ahead,0.01021511056350163
ReichLab-SARIMA2,2010/2011,US National,4 wk ahead,0.0422853201661404
UA-EpiCos,2010/2011,US National,4 wk ahead,0.00796216465668694
CU-BMA,2010/2011,HHS Region 1,Season onset,0.005970760139199466
CU-EAKFC_SEIRS,2010/2011,HHS Region 1,Season onset,0.015774962958270286
CU-EAKFC_SIRS,2010/2011,HHS Region 1,Season onset,0.009397851438491877
CU-EKF_SEIRS,2010/2011,HHS Region 1,Season onset,0.010389081279142285
CU-EKF_SIRS,2010/2011,HHS Region 1,Season onset,0.008407769760448887
CU-RHF_SEIRS,2010/2011,HHS Region 1,Season onset,0.24769915039559184
CU-RHF_SIRS,2010/2011,HHS Region 1,Season onset,0.010387247278993716
Delphi-BasisRegression,2010/2011,HHS Region 1,Season onset,0.004333464140125294
Delphi-DeltaDensity1,2010/2011,HHS Region 1,Season onset,0.005119645760542535
Delphi-DeltaDensity2,2010/2011,HHS Region 1,Season onset,0.005769755401804599
Delphi-EmpiricalFuture,2010/2011,HHS Region 1,Season onset,0.0037627181799249217
Delphi-EmpiricalTraj,2010/2011,HHS Region 1,Season onset,0.0035738820409635078
Delphi-Uniform,2010/2011,HHS Region 1,Season onset,0.003513456348803006
FluOutlook-Mech,2010/2011,HHS Region 1,Season onset,0.029148742262651177
FluOutlook-MechAug,2010/2011,HHS Region 1,Season onset,0.006143371310884329
FluX-ARLR,2010/2011,HHS Region 1,Season onset,0.0035134563488030063
FluX-FluX_LSTM,2010/2011,HHS Region 1,Season onset,0.005410943899118518
LANL-DBMplus,2010/2011,HHS Region 1,Season onset,0.006726698033395369
Protea-Cheetah,2010/2011,HHS Region 1,Season onset,0.0076518272324361805
Protea-Kudu,2010/2011,HHS Region 1,Season onset,0.003627694219848955
Protea-Springbok,2010/2011,HHS Region 1,Season onset,0.4998481183623526
ReichLab-KCDE_NB,2010/2011,HHS Region 1,Season onset,0.0033781540700910614
ReichLab-KCDE_PHB,2010/2011,HHS Region 1,Season onset,0.0033921444962146793
ReichLab-KDE,2010/2011,HHS Region 1,Season onset,0.003646156081897368
ReichLab-SARIMA1,2010/2011,HHS Region 1,Season onset,0.008440773131267369
ReichLab-SARIMA2,2010/2011,HHS Region 1,Season onset,0.08103910257483138
UA-EpiCos,2010/2011,HHS Region 1,Season onset,0.003933072853905569
CU-BMA,2010/2011,HHS Region 1,Season peak week,0.010688064099650462
CU-EAKFC_SEIRS,2010/2011,HHS Region 1,Season peak week,0.13519333786378596
CU-EAKFC_SIRS,2010/2011,HHS Region 1,Season peak week,0.062190503618315615
CU-EKF_SEIRS,2010/2011,HHS Region 1,Season peak week,0.03827886403790206
CU-EKF_SIRS,2010/2011,HHS Region 1,Season peak week,0.030407525989601045
CU-RHF_SEIRS,2010/2011,HHS Region 1,Season peak week,0.11147431845001643
CU-RHF_SIRS,2010/2011,HHS Region 1,Season peak week,0.04580947329373227
Delphi-BasisRegression,2010/2011,HHS Region 1,Season peak week,0.020258924244625588
Delphi-DeltaDensity1,2010/2011,HHS Region 1,Season peak week,0.019663034427345995
Delphi-DeltaDensity2,2010/2011,HHS Region 1,Season peak week,0.13199997301671734
Delphi-EmpiricalFuture,2010/2011,HHS Region 1,Season peak week,0.004399518719928732
Delphi-EmpiricalTraj,2010/2011,HHS Region 1,Season peak week,0.004138356377730571
Delphi-Uniform,2010/2011,HHS Region 1,Season peak week,0.003803329311521698
FluOutlook-Mech,2010/2011,HHS Region 1,Season peak week,0.008558332836286734
FluOutlook-MechAug,2010/2011,HHS Region 1,Season peak week,0.01173260070421592
FluX-ARLR,2010/2011,HHS Region 1,Season peak week,0.003803329311521698
FluX-FluX_LSTM,2010/2011,HHS Region 1,Season peak week,0.01293273475800746
LANL-DBMplus,2010/2011,HHS Region 1,Season peak week,0.15768777831716033
Protea-Cheetah,2010/2011,HHS Region 1,Season peak week,0.029757816816108812
Protea-Kudu,2010/2011,HHS Region 1,Season peak week,0.0049560431195231945
Protea-Springbok,2010/2011,HHS Region 1,Season peak week,0.10513524195548818
ReichLab-KCDE_NB,2010/2011,HHS Region 1,Season peak week,0.008992050000466054
ReichLab-KCDE_PHB,2010/2011,HHS Region 1,Season peak week,0.006537838673291293
ReichLab-KDE,2010/2011,HHS Region 1,Season peak week,0.004812182955718625
ReichLab-SARIMA1,2010/2011,HHS Region 1,Season peak week,0.007825422908531953
ReichLab-SARIMA2,2010/2011,HHS Region 1,Season peak week,0.012742291797058559
UA-EpiCos,2010/2011,HHS Region 1,Season peak week,0.0062211123957475
CU-BMA,2010/2011,HHS Region 1,Season peak percentage,0.3482116127746497
CU-EAKFC_SEIRS,2010/2011,HHS Region 1,Season peak percentage,0.008603632030733329
CU-EAKFC_SIRS,2010/2011,HHS Region 1,Season peak percentage,0.008813422752218884
CU-EKF_SEIRS,2010/2011,HHS Region 1,Season peak percentage,0.00837331401603754
CU-EKF_SIRS,2010/2011,HHS Region 1,Season peak percentage,0.009067866448783421
CU-RHF_SEIRS,2010/2011,HHS Region 1,Season peak percentage,0.009003053035621392
CU-RHF_SIRS,2010/2011,HHS Region 1,Season peak percentage,0.010941732963847796
Delphi-BasisRegression,2010/2011,HHS Region 1,Season peak percentage,0.006519008690072765
Delphi-DeltaDensity1,2010/2011,HHS Region 1,Season peak percentage,0.011813189571967395
Delphi-DeltaDensity2,2010/2011,HHS Region 1,Season peak percentage,0.016024563498822853
Delphi-EmpiricalFuture,2010/2011,HHS Region 1,Season peak percentage,0.005670241970242401
Delphi-EmpiricalTraj,2010/2011,HHS Region 1,Season peak percentage,0.004264923567009736
Delphi-Uniform,2010/2011,HHS Region 1,Season peak percentage,0.003923390356392957
FluOutlook-Mech,2010/2011,HHS Region 1,Season peak percentage,0.07460453913461748
FluOutlook-MechAug,2010/2011,HHS Region 1,Season peak percentage,0.08667660171461153
FluX-ARLR,2010/2011,HHS Region 1,Season peak percentage,0.003923390356392957
FluX-FluX_LSTM,2010/2011,HHS Region 1,Season peak percentage,0.006892738612068563
LANL-DBMplus,2010/2011,HHS Region 1,Season peak percentage,0.2666789555484316
Protea-Cheetah,2010/2011,HHS Region 1,Season peak percentage,0.006879346627795088
Protea-Kudu,2010/2011,HHS Region 1,Season peak percentage,0.004336534952255443
Protea-Springbok,2010/2011,HHS Region 1,Season peak percentage,0.01701098903164551
ReichLab-KCDE_NB,2010/2011,HHS Region 1,Season peak percentage,0.0093560353242162
ReichLab-KCDE_PHB,2010/2011,HHS Region 1,Season peak percentage,0.004899313303830999
ReichLab-KDE,2010/2011,HHS Region 1,Season peak percentage,0.004404383105920974
ReichLab-SARIMA1,2010/2011,HHS Region 1,Season peak percentage,0.008662344050773076
ReichLab-SARIMA2,2010/2011,HHS Region 1,Season peak percentage,0.007828275987535691
UA-EpiCos,2010/2011,HHS Region 1,Season peak percentage,0.04661660057350479
CU-BMA,2010/2011,HHS Region 1,1 wk ahead,0.0068587517905939034
CU-EAKFC_SEIRS,2010/2011,HHS Region 1,1 wk ahead,0.03622594663248983
CU-EAKFC_SIRS,2010/2011,HHS Region 1,1 wk ahead,0.03781275560265491
CU-EKF_SEIRS,2010/2011,HHS Region 1,1 wk ahead,0.04224841640383907
CU-EKF_SIRS,2010/2011,HHS Region 1,1 wk ahead,0.04105556889082426
CU-RHF_SEIRS,2010/2011,HHS Region 1,1 wk ahead,0.03601671250740931
CU-RHF_SIRS,2010/2011,HHS Region 1,1 wk ahead,0.037159938129489395
Delphi-BasisRegression,2010/2011,HHS Region 1,1 wk ahead,0.021943269004596724
Delphi-DeltaDensity1,2010/2011,HHS Region 1,1 wk ahead,0.035523375698369324
Delphi-DeltaDensity2,2010/2011,HHS Region 1,1 wk ahead,0.2701037932110495
Delphi-EmpiricalFuture,2010/2011,HHS Region 1,1 wk ahead,0.005311828313479316
Delphi-EmpiricalTraj,2010/2011,HHS Region 1,1 wk ahead,0.003967127778598956
Delphi-Uniform,2010/2011,HHS Region 1,1 wk ahead,0.003535199076085309
FluOutlook-Mech,2010/2011,HHS Region 1,1 wk ahead,0.08318564131177357
FluOutlook-MechAug,2010/2011,HHS Region 1,1 wk ahead,0.1617181789637324
FluX-ARLR,2010/2011,HHS Region 1,1 wk ahead,0.00591580718068007
FluX-FluX_LSTM,2010/2011,HHS Region 1,1 wk ahead,0.00590852661485021
LANL-DBMplus,2010/2011,HHS Region 1,1 wk ahead,0.07684480680688735
Protea-Cheetah,2010/2011,HHS Region 1,1 wk ahead,0.021287093497652197
Protea-Kudu,2010/2011,HHS Region 1,1 wk ahead,0.004168480156914697
Protea-Springbok,2010/2011,HHS Region 1,1 wk ahead,0.02319556574494859
ReichLab-KCDE_NB,2010/2011,HHS Region 1,1 wk ahead,0.00484826219118636
