component_model_id,season,location,target,weight
ReichLab-KDE,2014/2015,HHS Region 10,1 wk ahead,1.61803432587819e-90
ReichLab-SARIMA1,2014/2015,HHS Region 10,1 wk ahead,7.44143918181545e-16
ReichLab-SARIMA2,2014/2015,HHS Region 10,1 wk ahead,1.914965268955e-23
CU-BMA,2015/2016,HHS Region 10,1 wk ahead,1.89301894803135e-12
CU-EAKFC_SEIRS,2015/2016,HHS Region 10,1 wk ahead,0.153264625872844
CU-EAKFC_SIRS,2015/2016,HHS Region 10,1 wk ahead,0.153264625872844
CU-EKF_SEIRS,2015/2016,HHS Region 10,1 wk ahead,0.153264625872844
CU-EKF_SIRS,2015/2016,HHS Region 10,1 wk ahead,0.153264625872844
CU-RHF_SEIRS,2015/2016,HHS Region 10,1 wk ahead,0.153264625872844
CU-RHF_SIRS,2015/2016,HHS Region 10,1 wk ahead,0.153264625872844
Delphi-BasisRegression,2015/2016,HHS Region 10,1 wk ahead,3.73183654597177e-20
Delphi-DeltaDensity1,2015/2016,HHS Region 10,1 wk ahead,3.06048656655647e-08
Delphi-DeltaDensity2,2015/2016,HHS Region 10,1 wk ahead,1.2378253526683e-05
Delphi-EmpiricalBayes1,2015/2016,HHS Region 10,1 wk ahead,0.0803998359011516
Delphi-EmpiricalBayes2,2015/2016,HHS Region 10,1 wk ahead,9.09778919335084e-17
Delphi-EmpiricalFuture,2015/2016,HHS Region 10,1 wk ahead,4.57804975674261e-98
Delphi-EmpiricalTraj,2015/2016,HHS Region 10,1 wk ahead,4.57804975674261e-98
Delphi-Stat,2015/2016,HHS Region 10,1 wk ahead,5.36896593777576e-13
Delphi-Uniform,2015/2016,HHS Region 10,1 wk ahead,1.96959028337139e-195
LANL-DBM,2015/2016,HHS Region 10,1 wk ahead,5.80661285331908e-32
ReichLab-KCDE,2015/2016,HHS Region 10,1 wk ahead,1.04975308629352e-17
ReichLab-KDE,2015/2016,HHS Region 10,1 wk ahead,1.18738798533261e-65
ReichLab-SARIMA1,2015/2016,HHS Region 10,1 wk ahead,9.59289279003115e-13
ReichLab-SARIMA2,2015/2016,HHS Region 10,1 wk ahead,5.06887414023802e-16
CU-BMA,2016/2017,HHS Region 10,1 wk ahead,6.39416597152825e-07
CU-EAKFC_SEIRS,2016/2017,HHS Region 10,1 wk ahead,0.133378621806509
CU-EAKFC_SIRS,2016/2017,HHS Region 10,1 wk ahead,0.133378621806509
CU-EKF_SEIRS,2016/2017,HHS Region 10,1 wk ahead,0.133378621806509
CU-EKF_SIRS,2016/2017,HHS Region 10,1 wk ahead,0.133378621806509
CU-RHF_SEIRS,2016/2017,HHS Region 10,1 wk ahead,0.133378621806509
CU-RHF_SIRS,2016/2017,HHS Region 10,1 wk ahead,0.133378621806509
Delphi-BasisRegression,2016/2017,HHS Region 10,1 wk ahead,1.28743289116592e-14
Delphi-DeltaDensity1,2016/2017,HHS Region 10,1 wk ahead,6.69308907659108e-06
Delphi-DeltaDensity2,2016/2017,HHS Region 10,1 wk ahead,2.32125063697422e-08
Delphi-EmpiricalBayes1,2016/2017,HHS Region 10,1 wk ahead,0.199720913267912
Delphi-EmpiricalBayes2,2016/2017,HHS Region 10,1 wk ahead,9.17144096903457e-12
Delphi-EmpiricalFuture,2016/2017,HHS Region 10,1 wk ahead,1.07642337038802e-91
Delphi-EmpiricalTraj,2016/2017,HHS Region 10,1 wk ahead,1.07642337038802e-91
Delphi-Stat,2016/2017,HHS Region 10,1 wk ahead,4.24399179792742e-11
Delphi-Uniform,2016/2017,HHS Region 10,1 wk ahead,1.60553711759249e-177
LANL-DBM,2016/2017,HHS Region 10,1 wk ahead,1.59017866561134e-27
ReichLab-KCDE,2016/2017,HHS Region 10,1 wk ahead,4.53289656929663e-15
ReichLab-KDE,2016/2017,HHS Region 10,1 wk ahead,1.77411365422929e-58
ReichLab-SARIMA1,2016/2017,HHS Region 10,1 wk ahead,1.23225373760177e-10
ReichLab-SARIMA2,2016/2017,HHS Region 10,1 wk ahead,5.31978294062101e-16
CU-BMA,2010/2011,HHS Region 2,1 wk ahead,0.0519504805223992
CU-EAKFC_SEIRS,2010/2011,HHS Region 2,1 wk ahead,0.0903807386617301
CU-EAKFC_SIRS,2010/2011,HHS Region 2,1 wk ahead,0.0903807386617301
CU-EKF_SEIRS,2010/2011,HHS Region 2,1 wk ahead,0.0903807386617301
CU-EKF_SIRS,2010/2011,HHS Region 2,1 wk ahead,0.0903807386617301
CU-RHF_SEIRS,2010/2011,HHS Region 2,1 wk ahead,0.0903807386617301
CU-RHF_SIRS,2010/2011,HHS Region 2,1 wk ahead,0.0903807386617301
Delphi-BasisRegression,2010/2011,HHS Region 2,1 wk ahead,3.909266408278e-16
Delphi-DeltaDensity1,2010/2011,HHS Region 2,1 wk ahead,0.153391204914759
Delphi-DeltaDensity2,2010/2011,HHS Region 2,1 wk ahead,0.0414517462411724
Delphi-EmpiricalBayes1,2010/2011,HHS Region 2,1 wk ahead,0.210919415457701
Delphi-EmpiricalBayes2,2010/2011,HHS Region 2,1 wk ahead,5.40350321861045e-27
Delphi-EmpiricalFuture,2010/2011,HHS Region 2,1 wk ahead,2.6369865998211e-62
Delphi-EmpiricalTraj,2010/2011,HHS Region 2,1 wk ahead,2.6369865998211e-62
Delphi-Stat,2010/2011,HHS Region 2,1 wk ahead,2.72089358682283e-06
Delphi-Uniform,2010/2011,HHS Region 2,1 wk ahead,2.45933598151238e-120
LANL-DBM,2010/2011,HHS Region 2,1 wk ahead,3.24158332985734e-19
ReichLab-KCDE,2010/2011,HHS Region 2,1 wk ahead,4.9287802737447e-16
ReichLab-KDE,2010/2011,HHS Region 2,1 wk ahead,2.35899919735675e-60
ReichLab-SARIMA1,2010/2011,HHS Region 2,1 wk ahead,1.73512589482074e-17
